[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[100,400] 6000s seed7
[E-756rr] it13300: cur 33488.150 best 33490.458 (+0.000) T=0.156 acc12865 [224s]
[E-756rr] it13350: cur 33488.150 best 33490.458 (+0.000) T=0.152 acc12915 [225s]
[E-756rr] it13400: cur 33488.150 best 33490.458 (+0.000) T=0.148 acc12962 [226s]
[E-756rr] it13450: cur 33488.150 best 33490.458 (+0.000) T=0.145 acc13007 [226s]
[E-756rr] it13500: cur 33488.150 best 33490.458 (+0.000) T=0.141 acc13055 [227s]
[E-756rr] it13550: cur 33488.150 best 33490.458 (+0.000) T=0.138 acc13105 [228s]
[E-756rr] it13600: cur 33488.150 best 33490.458 (+0.000) T=0.134 acc13153 [229s]
[E-756rr] it13650: cur 33488.150 best 33490.458 (+0.000) T=0.131 acc13201 [230s]
[E-756rr] it13700: cur 33488.150 best 33490.458 (+0.000) T=0.128 acc13247 [231s]
[E-756rr] it13750: cur 33488.150 best 33490.458 (+0.000) T=0.125 acc13295 [232s]
[E-756rr] it13800: cur 33488.150 best 33490.458 (+0.000) T=0.122 acc13342 [232s]
[E-756rr] it13850: cur 33488.150 best 33490.458 (+0.000) T=0.119 acc13392 [233s]
[E-756rr] it13900: cur 33487.808 best 33490.458 (+0.000) T=0.116 acc13440 [234s]
[E-756rr] it13950: cur 33487.808 best 33490.458 (+0.000) T=0.113 acc13489 [235s]
[E-756rr] it14000: cur 33487.808 best 33490.458 (+0.000) T=0.110 acc13533 [236s]
[E-756rr] it14050: cur 33487.808 best 33490.458 (+0.000) T=0.107 acc13579 [237s]
[E-756rr] it14100: cur 33487.808 best 33490.458 (+0.000) T=0.105 acc13627 [238s]
[E-756rr] it14150: cur 33487.808 best 33490.458 (+0.000) T=0.102 acc13675 [239s]
[E-756rr] it14200: cur 33487.808 best 33490.458 (+0.000) T=0.099 acc13724 [239s]
[E-756rr] it14250: cur 33487.808 best 33490.458 (+0.000) T=0.097 acc13774 [240s]
[E-756rr] it14300: cur 33487.808 best 33490.458 (+0.000) T=0.095 acc13822 [241s]
