error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[TDSA-D] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=18.0
[TDSA-D] it11200: cur 2490 best_mk 1433.4d best_strands 21 T=2.0 acc=38 [34169s]
[TDSA-D] it11250: cur 2490 best_mk 1433.4d best_strands 21 T=2.0 acc=38 [34317s]
[TDSA-D] it11300: cur 2490 best_mk 1433.4d best_strands 21 T=2.0 acc=38 [34447s]
[TDSA-D] it11350: cur 2490 best_mk 1433.4d best_strands 21 T=2.0 acc=38 [34572s]
[TDSA-D] it11400: cur 2490 best_mk 1433.4d best_strands 21 T=1.9 acc=38 [34705s]
[TDSA-D] it11450: cur 2490 best_mk 1433.4d best_strands 21 T=1.9 acc=38 [34857s]
[TDSA-D] it11500: cur 2490 best_mk 1433.4d best_strands 21 T=1.9 acc=38 [35013s]
[TDSA-D] it11550: cur 2490 best_mk 1433.4d best_strands 21 T=1.9 acc=38 [35138s]
[TDSA-D] it11600: cur 2490 best_mk 1433.4d best_strands 21 T=1.9 acc=38 [35293s]
[TDSA-D] it11650: cur 2490 best_mk 1433.4d best_strands 21 T=1.9 acc=38 [35426s]
[TDSA-D] it11700: cur 2490 best_mk 1433.4d best_strands 21 T=1.8 acc=38 [35573s]
[TDSA-D] it11750: cur 2490 best_mk 1433.4d best_strands 21 T=1.8 acc=38 [35742s]
[TDSA-D] it11800: cur 2490 best_mk 1433.4d best_strands 21 T=1.8 acc=38 [35893s]
[TDSA-D] it11850: cur 2490 best_mk 1433.4d best_strands 21 T=1.8 acc=38 [36048s]
[TDSA-D] it11900: cur 2490 best_mk 1433.4d best_strands 21 T=1.8 acc=38 [36186s]
[TDSA-D] it11950: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [36316s]
[TDSA-D] it12000: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [36457s]
[TDSA-D] it12050: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [36602s]
[TDSA-D] it12100: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [36747s]
[TDSA-D] it12150: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [36892s]
[TDSA-D] it12200: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [37065s]
[TDSA-D] it12250: cur 2490 best_mk 1433.4d best_strands 21 T=1.7 acc=38 [37207s]
[TDSA-D] it12300: cur 2490 best_mk 1433.4d best_strands 21 T=1.6 acc=38 [37346s]
[TDSA-D] it12350: cur 2490 best_mk 1433.4d best_strands 21 T=1.6 acc=38 [37495s]
[TDSA-D] it12400: cur 2490 best_mk 1433.4d best_strands 21 T=1.6 acc=38 [37619s]
[TDSA-D] it12450: cur 2490 best_mk 1433.4d best_strands 21 T=1.6 acc=38 [37783s]
[TDSA-D] it12500: cur 2490 best_mk 1433.4d best_strands 21 T=1.6 acc=38 [37930s]
[TDSA-D] it12550: cur 2490 best_mk 1433.4d best_strands 21 T=1.6 acc=38 [38074s]
[TDSA-D] it12600: cur 2490 best_mk 1433.4d best_strands 21 T=1.5 acc=38 [38209s]
[TDSA-D] it12650: cur 2490 best_mk 1433.4d best_strands 21 T=1.5 acc=38 [38352s]
[TDSA-D] it12700: cur 2490 best_mk 1433.4d best_strands 21 T=1.5 acc=38 [38522s]
[TDSA-D] it12750: cur 2490 best_mk 1433.4d best_strands 21 T=1.5 acc=38 [38660s]
